source;target
Wade J.;Brown S.
van Gerwen M.;Wright P.
Caris M.;Ruiz F.
Jones W.;Roy A.
Ovens D.;Van der Rassel J.
Osborne C.;Whitlock S.
Beaton S.;Rodriguez C.
Seyler T.;Yongsheng S.
Smith A.;Young D.
Baxter R.;Muramatsu H.
Jenkins T.;Nicholson P.
Part J.;Greebe T.
Muramatsu H.;Kciuk K.
Van der Voort V.;Duo D.
Hamilton A.;Kijamet O.
van Barneveld R.;Parry W.
Caven J.;Anderson G.
Hazel P.;Kijamet O.
Painter K.;Suljovic M.
Tabern A.;MacNeil K.
Walsh M.;Webster M.
Dudbridge M.;Welge A.
Eccles T.;Dolan B.
MacNeil K.;Madhoo N.
Manley P.;Jenkins A.
Klaasen J.;Bates B.
O'Neill A.;Francis L.
King M.;Clark M.
Newton W.;Komula J.
Shepherd K.;Burnett S.
Stompe C.;Maish S.
Scholten R.;Hine S.
Komula J.;Konchikov R.
Thornton R.;Perez C.
Taylor P.;Monk C.
Priestley D.;McDine K.
Laursen P.;Perez C.
Mardle W.;Artut J.
Taylor P.;van Barneveld R.
Taylor P.;King M.
van Barneveld R.;Wade J.
Nicholson P.;Wade J.
van Barneveld R.;Klaasen J.
King M.;Bates B.
Taylor P.;Stompe C.
Hamilton A.;Klaasen J.
Mardle W.;Stompe C.
Nicholson P.;Priestley D.
Smith D.;King M.
van Barneveld R.;Baxter R.
Wade J.;Van der Voort V.
Bates B.;Dudbridge M.
Lewis A.;Nicholson P.
Osborne C.;Van der Voort V.
Taylor P.;Painter K.
Wade J.;Eccles T.
Baxter R.;Ovens D.
Davis B.;Bates B.
Hamilton A.;Ayres T.
King M.;Walsh M.
Klaasen J.;Van der Rassel J.
van Barneveld R.;Newton W.
Mardle W.;Thornton R.
Priestley D.;Magowan J.
Rodriguez C.;Painter K.
Smith D.;McDine K.
Suljovic M.;Dudbridge M.
Tabern A.;Stompe C.
Taylor P.;van Gerwen M.
Baxter R.;Kantele M.
Eccles T.;Van Eijden R.
Gray A.;Nicholson P.
Osborne C.;Losper C.
Shepherd K.;Van der Rassel J.
Smith A.;Ayres T.
Van der Voort V.;Bezzeg N.
Wade J.;Dolan B.
King M.;Yongsheng S.
Lewis A.;Stewart R.
Lloyd C.;Klaasen J.
Mason C.;Magowan J.
Dudbridge M.;Fullwell N.
Hamilton A.;Barnard M.
Manley P.;Suljovic M.
Mardle W.;Fatum D.
Newton W.;Laursen P.
Ovens D.;Maish S.
van Barneveld R.;Stephenson M.
Walsh M.;Caven J.
Bates B.;McBrearty F.
Jenkins T.;Smith D.
Painter K.;Clark M.
Priestley D.;French W.
Roy A.;McDine K.
Tabern A.;Beaton S.
Taylor P.;Grubb S.
van Gerwen M.;Young D.
Jenkins A.;Stompe C.
Jones W.;Thornton R.
Part J.;Davis B.
Scholten R.;Rodriguez C.
Fatum D.;O'Connor S.
French W.;Nagakawa A.
Kantele M.;Ilagan L.
Losper C.;Fitzgerald S.
Schnier H.;Yongsheng S.
Van Eijden R.;Dobromyslova A.
Shepherd K.;Part J.
Mardle W.;Shepherd K.
Painter K.;Part J.
Manley P.;Shepherd K.
Painter K.;Lewis A.
Part J.;Wade J.
Taylor P.;Mardle W.
Lewis A.;Eccles T.
Manley P.;Van der Rassel J.
Roy A.;Part J.
Shepherd K.;Bates B.
van Barneveld R.;Painter K.
Wade J.;Dudbridge M.
Baxter R.;Dudbridge M.
Hamilton A.;Roy A.
Maish S.;Eccles T.
Scholten R.;Mardle W.
Taylor P.;Tabern A.
Bates B.;Extercatte E.
Lewis A.;Van der Voort V.
Painter K.;Mason C.
Part J.;Suljovic M.
Shepherd K.;McGowan M.
van Barneveld R.;Clark J.
Wade J.;Beaton S.
Jenkins A.;Tabern A.
Manley P.;Warriner-Little A.
Mardle W.;Caven J.
Scholten R.;King M.
Taylor P.;Walsh M.
Van der Rassel J.;Ovens D.
Baxter R.;Olson D.
Beaton S.;Evans S.
Dudbridge M.;Hine S.
Osborne C.;Extercatte E.
Part J.;Losper C.
Smith A.;Suljovic M.
Wade J.;MacArthur S.
Warriner-Little A.;Yongsheng S.
Hamilton A.;Kwadijk L.
Jenkins A.;Navratil M.
Jones W.;Eccles T.
Lewis A.;Askew D.
Priestley D.;Maish S.
Roy A.;Parry W.
van Barneveld R.;Forde A.
Van der Voort V.;Klaasen J.
Anderson B.;Clark J.
Bates B.;Convery G.
Jenkins T.;Shepherd K.
Mason C.;Brown S.
McGowan M.;Barry J.
Newton W.;Caven J.
Ovens D.;Monk C.
Painter K.;Mawson G.
Barellano R.;Navratil M.
Bolton A.;Extercatte E.
Nagakawa A.;Forde A.
Sayed A.;Yongsheng S.
King M.;Rosenauer M.
Manley P.;Greebe T.
Scholten R.;Clark M.
Taylor P.;van Gerwen M.
Gray A.;Walsh M.
Lloyd C.;Van der Rassel J.
Mardle W.;Carver R.
Tabern A.;Laursen P.
van Barneveld R.;Taylor P.
Taylor P.;Hamilton A.
van Barneveld R.;Jenkins A.
Jenkins A.;Osborne C.
Jenkins T.;Hamilton A.
Taylor P.;Webster D.
van Barneveld R.;Tabern A.
Havenga W.;Webster D.
Jenkins T.;Wade J.
Lewis A.;Jenkins A.
Priestley D.;Hamilton A.
Scholten R.;Osborne C.
Taylor P.;Mason C.
Askew D.;Tabern A.
Jenkins A.;Smith A.
Osborne C.;Newton W.
Priestley D.;Laursen P.
Scholten R.;Roy A.
van Barneveld R.;Vonck R.
Wade J.;Ladley D.
Caves A.;Askew D.
Dudbridge M.;Hamilton A.
Ovens D.;Tabern A.
Taylor P.;McGowan M.
Gray A.;Webster D.
Jenkins T.;Beaton S.
Lewis A.;Jones W.
Lloyd C.;van Barneveld R.
Manley P.;Havenga W.
Mason C.;Part J.
Vonck R.;Cyr B.
Askew D.;Burchell M.
Dudbridge M.;Kuczynski J.
Jenkins A.;Davis B.
Newton W.;Wada T.
Painter K.;Osborne C.
Roy A.;Burnett R.
Scholten R.;Miller R.
Smith A.;Yongsheng S.
Beaton S.;Convery G.
Hamilton A.;Welding G.
Jones W.;Branks I.
Mardle W.;Caves A.
Monk C.;Laursen P.
Priestley D.;Schenk J.
Sams L.;Ladley D.
Wade J.;French W.
Anderson B.;Webster D.
Bates B.;Cyr B.
Lewis A.;Fleet A.
Lloyd C.;Seyler T.
Ovens D.;Smith S.
van Barneveld R.;Clegg M.
Walsh M.;Vonck R.
Warriner-Little A.;Tabern A.
Baxter R.;Gray A.
Clark M.;McGowan M.
Jenkins T.;Lawrence M.
Maish S.;Havenga W.
Manley P.;Jowett D.
Mason C.;Atwood W.
Part J.;Green A.
Taylor P.;Pein A.
Manley P.;Taylor P.
Jones W.;Manley P.
Taylor P.;Mardle W.
Manley P.;Lewis A.
Mardle W.;Warriner-Little A.
Taylor P.;Painter K.
Welding G.;Jones W.
Manley P.;Smith D.
Mardle W.;Part J.
Painter K.;Dudbridge M.
Scholten R.;Lewis A.
Smith A.;Warriner-Little A.
Taylor P.;Hamilton A.
Carver R.;Smith A.
Jenkins T.;Hamilton A.
Jones W.;Alker S.
Mardle W.;Clarys E.
Part J.;Mason C.
Warriner-Little A.;Convery G.
Welding G.;Kuczynski J.
Dudbridge M.;Tabern A.
Ovens D.;Alker S.
Painter K.;Newton W.
Priestley D.;Lewis A.
Scholten R.;Seyler T.
Taylor P.;Clark M.
Walsh M.;Smith D.
Jenkins A.;Jones W.
Kuczynski J.;Van der Rassel J.
Manley P.;Clark J.
Welding G.;Extercatte E.
Askew D.;Convery G.
Clarys E.;Cadogan W.
Harvey J.;Seyler T.
Mason C.;Hine S.
Monk C.;Smith A.
Painter K.;Newton D.
Roy A.;Tabern A.
Warriner-Little A.;Welge A.
Anderson B.;Hamilton A.
Baxter R.;Carver R.
Clark M.;Woods K.
Dudbridge M.;Young D.
Jenkins T.;Mann J.
Mardle W.;Roach B.
Ovens D.;Wylie G.
Priestley D.;Magowan J.
Jenkins A.;Bulen P.
Lloyd C.;Welding G.
Manley P.;Spiolek K.
Sams L.;Kuczynski J.
Scholten R.;Whitcombe D.
Smith D.;Salmon M.
Walsh M.;Parry W.
Webster D.;Extercatte E.
Beaton S.;Van der Rassel J.
Caves A.;Alker S.
Lewis A.;Honey D.
Maish S.;Clark J.
Newton W.;Matsunaga Y.
Part J.;Liu C. A.
Taylor P.;Platt D.
Wade J.;Jones W.
Dudbridge M.;Taylor P.
Mardle W.;Dudbridge M.
Taylor P.;Anderson B.
Anderson B.;Hamilton A.
Lloyd C.;Mardle W.
Ovens D.;Dudbridge M.
Taylor P.;Painter K.
Baxter R.;Anderson B.
Painter K.;Jenkins A.
Schenk J.;Hamilton A.
Baxter R.;Jenkins T.
Beaton S.;Hamilton A.
Lloyd C.;Mason C.
Mardle W.;Williams P.
Part J.;Dudbridge M.
Scholten R.;Ovens D.
Taylor P.;Priestley D.
Askew D.;Mason C.
Jenkins A.;Evison P.
Manley P.;Schenk J.
Painter K.;Jones W.
Priestley D.;Sams L.
Smith D.;Anderson B.
Taylor P.;Roy A.
Dudbridge M.;Burnett R.
Lloyd C.;Verwey J.
Mardle W.;Walsh M.
Ovens D.;Holden M.
Part J.;Convery G.
Scholten R.;Harvey J.
Warriner-Little A.;Williams P.
Caves A.;Schenk J.
Deller K.;Jones W.
Evison P.;Landers M.
Jouannet B.;Jones W.
Lowe J.;Verwey J.
Manning M.;Hamilton A.
Mason C.;Clark J.
Newton W.;Convery G.
Whatley S.;Holden M.
Clark J.;Matsunaga Y.
Holden M.;Wade J.
Jun T.;Convery G.
Landers M.;Reynolds A.
Thomson M.;Hamilton A.
Verwey J.;Forde A.
Young D.;Schenk J.
Taylor P.;Painter K.
Anderson B.;Painter K.
Taylor P.;Mardle W.
Manley P.;Anderson B.
Mardle W.;Whatley S.
Painter K.;Dudbridge M.
Taylor P.;Warriner-Little A.
Anderson B.;Smith D.
Baxter R.;Painter K.
Beaton S.;Dudbridge M.
Lloyd C.;Mardle W.
Manley P.;Deller K.
Taylor P.;Priestley D.
Warriner-Little A.;Roy A.
Whatley S.;Sams L.
Ovens D.;Roy A.
Warriner-Little A.;Lowe J.
Burnett R.;Whatley S.
Harvey J.;Beaton S.
Lloyd C.;Evison P.
Mardle W.;Maish S.
Priestley D.;Buckle R.
Scholten R.;Sams L.
Taylor P.;McGarry C.
Askew D.;Deller K.
Baxter R.;Clarys E.
Jenkins A.;Anderson B.
Manley P.;Atwood W.
Painter K.;Williams P.
Part J.;Dudbridge M.
Smith D.;Fitton L.
Atwood W.;Manning M.
Buckle R.;Brown S.
Clarys E.;Walsh M.
MacKay A.;Sams L.
Maish S.;Lazarenko C.
McGarry C.;Holden M.
Smith S.;Dudbridge M.
Widdows R.;Whatley S.
Atwood W.;Sano T.
Buckle R.;Van der Rassel J.
Clarys E.;Lauby D. Sr.
MacKay A.;Jouannet B.
Maish S.;Payne T.
McGarry C.;Orvis R.
Smith S.;Madhoo N.
Widdows R.;O'Neill H.
Taylor P.;Part J.
Painter K.;Part J.
Taylor P.;Warriner-Little A.
Mason C.;Part J.
Painter K.;Burnett R.
Scholten R.;Warriner-Little A.
Taylor P.;Smith D.
Baxter R.;Painter K.
Burnett R.;Whitlock S.
Harvey J.;Part J.
Lloyd C.;Mason C.
Fitton L.;Warriner-Little A.
Ovens D.;Smith D.
Scholten R.;Askew D.
Taylor P.;Mardle W.
Baxter R.;Manning M.
Burnett R.;Deller K.
Jenkins A.;Mason C.
Lloyd C.;Anderson B.
Manley P.;Whitlock S.
Painter K.;Harding R.
Askew D.;Beaton S.
Lowe J.;Fitton L.
Ovens D.;Roy A.
Part J.;Lazarenko C.
Scholten R.;Burgess S.
Warriner-Little A.;Harrington R.
Evison P.;Mardle W.
Harvey J.;Holden M.
Smith D.;Priestley D.
Taylor P.;Brown S.
Anderson B.;Hedman A.
Manning M.;Palfreyman L.
Brown S.;Platt D.
Burgess S.;Moen A.
Harding R.;Robinson M.
Holden M.;Smith D.
Mardle W.;Carver R.
Whitlock S.;Williams P.
Manley P.;Taylor P.
Askew D.;Taylor P.
Lloyd C.;Manley P.
Baxter R.;Manley P.
Lloyd C.;Burnett R.
Part J.;Taylor P.
Priestley D.;Askew D.
Askew D.;Scholten R.
Burgess S.;Taylor P.
Harrington R.;Priestley D.
Lowe J.;Manley P.
Ovens D.;Burnett R.
Part J.;Beaton S.
Smith D.;Baxter R.
Warriner-Little A.;Lloyd C.
Askew D.;Mason C.
Baxter R.;Painter K.
Beaton S.;Anderson B.
Burnett R.;Evison P.
Harrington R.;Deller K.
Harvey J.;Burgess S.
Lowe J.;Fitton L.
Manley P.;Brown S.
Ovens D.;Jenkins A.
Part J.;Manning M.
Priestley D.;Chapman M.
Roy A.;Lloyd C.
Scholten R.;Lazarenko C.
Smith D.;Lim P.
Taylor P.;Williams P.
Warriner-Little A.;Harding R.
Taylor P.;Part J.
Askew D.;Taylor P.
Harrington R.;Part J.
Deller K.;Taylor P.
Harvey J.;Askew D.
Part J.;Warriner-Little A.
Scholten R.;Harrington R.
Deller K.;Burnett R.
Fitton L.;Taylor P.
Harvey J.;Lowe J.
Lim P.;Warriner-Little A.
Part J.;Smith D.
Roy A.;Askew D.
Scholten R.;Lazarenko C.
Stoddart G.;Harrington R.
Burgess S.;Scholten R.
Harrington R.;Anderson B.
Lazarenko C.;Cummings S.
Lim P.;Lauby D. Sr.
Part J.;Lloyd C.
Smith D.;Evison P.
Stoddart G.;King G.
Warriner-Little A.;Harding R.
Askew D.;Manning M.
Burnett R.;Brown S.
Fitton L.;Ovens D.
Lowe J.;Spedding G.
Manley P.;Harvey J.
Priestley D.;Deller K.
Roy A.;Raw S.
Taylor P.;Justice N.
Priestley D.;Taylor P.
Manley P.;Priestley D.
Smith D.;Taylor P.
Lowe J.;Smith D.
Manley P.;Evison P.
Priestley D.;Burgess S.
Warriner-Little A.;Taylor P.
Justice N.;Burgess S.
Lowe J.;Deller K.
Manley P.;Brown S.
Priestley D.;Harvey J.
Raw S.;Evison P.
Smith D.;Part J.
Stoddart G.;Taylor P.
Warriner-Little A.;Roy A.
Brown S.;Bristow E.
Burgess S.;Lloyd C.
Deller K.;Mawson G.
Evison P.;Verrier G.
Harrington R.;Lowe J.
Harvey J.;Spiolek K.
Justice N.;Allsopp D.
Manley P.;Anderson B.
Part J.;Bunyard J.
Priestley D.;Roncero B.
Raw S.;Cummings S.
Roy A.;Harding R.
Smith D.;Lazarenko C.
Stoddart G.;Lauby D. Sr.
Taylor P.;Manning M.
Warriner-Little A.;Lim P.
Manley P.;Taylor P.
Burgess S.;Manley P.
Taylor P.;Warriner-Little A.
Burgess S.;Lazarenko C.
Smith D.;Manley P.
Taylor P.;Anderson B.
Warriner-Little A.;Ferrell J.
Anderson B.;Harvey J.
Brown S.;Lazarenko C.
Ferrell J.;Mawson G.
Harrington R.;Burgess S.
Manley P.;Stoddart G.
Smith D.;Manning M.
Taylor P.;Lowe J.
Warriner-Little A.;Robinson H.
Allsopp D.;Lazarenko C.
Brown S.;Spiolek K.
Burgess S.;Cummings S.
Deller K.;Anderson B.
Downs S.;Robinson H.
Evison P.;Smith D.
Harrington R.;Roy A.
Lauby D. Sr.;Manning M.
Lowe J.;Lim P.
Manley P.;Bristow E.
Mawson G.;Gardner R.
Priestley D.;Ferrell J.
Raw S.;Stoddart G.
Taylor P.;Harding R.
Verrier G.;Harvey J.
Warriner-Little A.;Part J.
Taylor P.;Priestley D.
Harrington R.;Deller K.
Priestley D.;Deller K.
Taylor P.;Harrington R.
Deller K.;Robinson H.
Harrington R.;Evison P.
Priestley D.;Manley P.
Taylor P.;Burgess S.
Anderson B.;Verrier G.
Bristow E.;Raw S.
Brown S.;Robinson H.
Burgess S.;Anderson B.
Burgess S.;Verrier G.
Deller K.;Manning M.
Deller K.;Stoddart G.
Evison P.;Lim P.
Evison P.;Part J.
Harrington R.;Ferrell J.
Harrington R.;Harvey J.
Harvey J.;Ferrell J.
Lim P.;Part J.
Manley P.;Lowe J.
Manley P.;Mawson G.
Manning M.;Stoddart G.
Mawson G.;Lowe J.
Priestley D.;Bristow E.
Priestley D.;Raw S.
Smith D.;Spiolek K.
Taylor P.;Smith D.
Taylor P.;Spiolek K.
Warriner-Little A.;Brown S.
Warriner-Little A.;Robinson H.
Taylor P.;Priestley D.
Bristow E.;Evison P.
Bristow E.;Taylor P.
Evison P.;Priestley D.
Bristow E.;Warriner-Little A.
Deller K.;Taylor P.
Evison P.;Harvey J.
Harrington R.;Priestley D.
Anderson B.;Bristow E.
Anderson B.;Mawson G.
Bristow E.;Mawson G.
Burgess S.;Downs S.
Burgess S.;Harrington R.
Downs S.;Harrington R.
Evison P.;Lazarenko C.
Evison P.;Raw S.
Gardner R.;Brown S.
Harvey J.;Lim P.
Harvey J.;Lowe J.
Lazarenko C.;Raw S.
Lowe J.;Lim P.
Priestley D.;Brown S.
Priestley D.;Gardner R.
Smith D.;Deller K.
Spiolek K.;Deller K.
Spiolek K.;Smith D.
Stoddart G.;Butler L.
Taylor P.;Mason C.
Taylor P.;Verrier G.
Verrier G.;Mason C.
Warriner-Little A.;Butler L.
Warriner-Little A.;Stoddart G.
Taylor P.;Priestley D.
Harvey J.;Priestley D.
Taylor P.;Lowe J.
Butler L.;Harvey J.
Evison P.;Lowe J.
Taylor P.;Deller K.
Warriner-Little A.;Priestley D.
Bristow E.;Gardner R.
Brown S.;Stoddart G.
Brown S.;Warriner-Little A.
Burgess S.;Lazarenko C.
Butler L.;Justice N.
Downs S.;Deller K.
Evison P.;Mawson G.
Evison P.;Raw S.
Harrington R.;Butler L.
Harrington R.;Justice N.
Harvey J.;Anderson B.
Harvey J.;Verrier G.
Lowe J.;Kirby T.
Lowe J.;Smith D.
Priestley D.;Bristow E.
Priestley D.;Gardner R.
Raw S.;Mawson G.
Smith D.;Kirby T.
Spiolek K.;Deller K.
Spiolek K.;Downs S.
Taylor P.;Burgess S.
Taylor P.;Lazarenko C.
Verrier G.;Anderson B.
Warriner-Little A.;Stoddart G.
Taylor P.;Harrington R.
Evison P.;Lowe J.
Evison P.;Harrington R.
Taylor P.;Lowe J.
Anderson B.;Taylor P.
Evison P.;Spiolek K.
Harvey J.;Harrington R.
Smith D.;Lowe J.
Anderson B.;Gardner R.
Evison P.;Lazarenko C.
Harrington R.;Burgess S.
Lowe J.;Wilson J.
Smith D.;Kirby T.
Spiolek K.;Butler L.
Taylor P.;Downs S.
Watkins J.;Harvey J.
Brown S.;Watkins J.
Burgess S.;Bristow E.
Butler L.;Deller K.
Gardner R.;Umberger J.
Lazarenko C.;Stoddart G.
Priestley D.;Wilson J.
Verrier G.;Downs S.
Warriner-Little A.;Kirby T.
Anderson B.;Umberger J.
Brown S.;Harvey J.
Evison P.;Stoddart G.
Harrington R.;Bristow E.
Priestley D.;Lowe J.
Spiolek K.;Deller K.
Taylor P.;Verrier G.
Warriner-Little A.;Smith D.
Priestley D.;Taylor P.
Evison P.;Brown S.
Priestley D.;Evison P.
Taylor P.;Brown S.
Anderson B.;Taylor P.
Brown S.;Warriner-Little A.
Harrington R.;Evison P.
Priestley D.;Kirby T.
Anderson B.;Kelly D.
Evison P.;Burrows K.
Harrington R.;Downs S.
Lowe J.;Butler L.
Priestley D.;Stoddart G.
Spiolek K.;Brown S.
Taylor P.;Watkins J.
Warriner-Little A.;Lazarenko C.
Bristow E.;Downs S.
Brown S.;Deller K.
Burrows K.;Umberger J.
Butler L.;Kirby T.
Gardner R.;Lazarenko C.
Harvey J.;Watkins J.
Kelly D.;Verrier G.
Stoddart G.;Wilson J.
Anderson B.;Verrier G.
Evison P.;Umberger J.
Harrington R.;Bristow E.
Lowe J.;Kirby T.
Priestley D.;Wilson J.
Spiolek K.;Deller K.
Taylor P.;Harvey J.
Warriner-Little A.;Gardner R.
